county,precinct
116,101
116,201
116,202
116,301
116,401
116,402
116,403
116,501
116,502
116,503
116,504
116,505
116,506
116,601
116,602
116,701
116,702
116,703
116,704
116,705
116,706
116,707
116,708
116,801
116,802
116,803
116,901
116,902
116,1001
116,1101
116,1201
116,1301
116,1401
116,1402
116,1403
116,6001
116,7000
116,7500
116,8000
120,101
120,102
120,103
120,201
120,202
120,203
120,204
120,205
120,206
120,207
120,208
120,210
120,211
120,213
120,214
120,215
120,216
120,217
120,218
120,301
120,302
120,303
120,401
120,501
120,601
120,701
120,702
120,703
120,704
120,705
120,706
120,707
120,801
120,901
120,902
120,903
120,904
120,905
120,906
120,907
120,908
120,909
120,1001
120,1101
120,1201
120,1202
120,1301
120,1302
120,1303
120,1401
120,1402
120,1501
120,1502
120,1601
120,1701
120,1801
120,1802
120,1803
120,1901
120,2001
120,2101
120,2102
120,2103
120,2104
120,2107
120,2108
120,2201
120,2202
120,2301
120,2302
120,2401
120,2402
120,2403
120,2404
120,2405
120,2406
120,2501
120,2601
120,2602
120,6001
120,6002
120,6003
120,7000
120,7500
120,8000
125,101
125,102
125,103
125,104
125,105
125,106
125,107
125,201
125,202
125,203
125,204
125,205
125,206
125,207
125,208
125,209
125,210
125,211
125,301
125,302
125,401
125,402
125,403
125,404
125,405
125,406
125,407
125,408
125,409
125,410
125,411
125,412
125,413
125,414
125,415
125,416
125,417
125,418
125,419
125,420
125,421
125,423
125,424
125,425
125,426
125,427
125,428
125,429
125,430
125,431
125,432
125,433
125,434
125,435
125,437
125,438
125,440
125,442
125,443
125,501
125,502
125,503
125,504
125,505
125,506
125,508
125,509
125,510
125,511
125,512
125,513
125,514
125,515
125,516
125,517
125,518
125,519
125,521
125,522
125,523
125,601
125,602
125,603
125,604
125,605
125,606
125,607
125,608
125,609
125,610
125,611
125,613
125,614
125,615
125,701
125,702
125,703
125,704
125,705
125,706
125,707
125,708
125,709
125,710
125,711
125,712
125,713
125,715
125,716
125,718
125,719
125,720
125,721
125,722
125,723
125,724
125,725
125,726
125,727
125,728
125,731
125,732
125,801
125,802
125,803
125,804
125,805
125,806
125,807
125,808
125,809
125,810
125,811
125,812
125,814
125,815
125,901
125,902
125,903
125,904
125,905
125,906
125,907
125,908
125,909
125,910
125,911
125,912
125,913
125,914
125,915
125,916
125,918
125,920
125,921
125,922
125,924
125,925
125,926
125,927
125,928
125,929
125,930
125,931
125,932
125,933
125,934
125,935
125,936
125,937
125,938
125,939
125,940
125,941
125,1001
125,1002
125,1003
125,1004
125,1005
125,1006
125,1007
125,1009
125,1010
125,1011
125,1012
125,1013
125,1100
125,1201
125,1202
125,1203
125,1204
125,1205
125,1301
125,1302
125,1303
125,1304
125,1305
125,1306
125,1307
125,1308
125,1310
125,1311
125,1313
125,1314
125,1315
125,1316
125,1318
125,1319
125,1320
125,1321
125,1322
125,1323
125,1324
125,1325
125,1327
125,1328
125,1329
125,1330
125,1331
125,1332
125,1333
125,1334
125,1335
125,1336
125,1337
125,1338
125,1339
125,1340
125,1342
125,1343
125,1344
125,1345
125,1346
125,1347
125,1349
125,1350
125,1351
125,1352
125,1353
125,1354
125,1355
125,1356
125,1357
125,1358
125,1359
125,1360
125,1361
125,1363
125,1364
125,1365
125,1368
125,1369
125,1370
125,1371
125,6001
125,6002
125,6003
125,6004
125,6005
125,6006
125,6007
125,6008
125,6009
125,6010
125,7000
125,7500
125,8000
