County,Precinct,Precinct ID,Anthony Brown,Warren Christopher,Matthew Fogg,Glenn Ivey,Joseline Pena-Melnyk,Terence Strait
Peince George,1312,013-012,383,9,9,379,84,1
Peince George,1313,013-013,319,5,2,174,27,0
Peince George,1314,013-014,438,13,2,285,58,0
Peince George,1315,013-015,342,16,5,382,86,2
Peince George,1316,013-016,300,7,6,209,102,5
Peince George,1317,013-017,208,4,1,164,32,1
Peince George,1318,013-018,72,1,2,62,21,1
Peince George,1319,013-019,6,0,0,6,3,0
Peince George,1320,013-020,80,2,1,45,15,1
Peince George,1321,013-021,177,12,1,132,34,2
Peince George,1322,013-022,35,0,1,27,8,0
Peince George,1323,013-023,95,3,3,62,21,0
Peince George,1324,013-024,136,4,3,100,27,0
Peince George,1325,013-025,25,1,0,28,1,0
Peince George,1401,014-001,NA,NA,NA,NA,NA,NA
Peince George,1402,014-002,NA,NA,NA,NA,NA,NA
Peince George,1403,014-003,NA,NA,NA,NA,NA,NA
Peince George,1404,014-004,NA,NA,NA,NA,NA,NA
Peince George,1405,014-005,NA,NA,NA,NA,NA,NA
Peince George,1406,014-006,NA,NA,NA,NA,NA,NA
Peince George,1407,014-007,NA,NA,NA,NA,NA,NA
Peince George,1408,014-008,NA,NA,NA,NA,NA,NA
Peince George,1409,014-009,NA,NA,NA,NA,NA,NA
Peince George,1410,014-010,NA,NA,NA,NA,NA,NA
Peince George,1411,014-011,NA,NA,NA,NA,NA,NA
Peince George,1412,014-012,NA,NA,NA,NA,NA,NA
Peince George,1413,014-013,NA,NA,NA,NA,NA,NA
Peince George,1414,014-014,NA,NA,NA,NA,NA,NA
Peince George,1415,014-015,NA,NA,NA,NA,NA,NA
Peince George,1416,014-016,NA,NA,NA,NA,NA,NA
Peince George,1417,014-017,NA,NA,NA,NA,NA,NA
Peince George,1501,015-001,NA,NA,NA,NA,NA,NA
Peince George,1502,015-002,215,5,4,224,26,1
Peince George,1503,015-003,NA,NA,NA,NA,NA,NA
Peince George,1504,015-004,NA,NA,NA,NA,NA,NA
Peince George,1505,015-005,574,57,6,670,145,3
Peince George,1506,015-006,NA,NA,NA,NA,NA,NA
Peince George,1601,016-001,54,6,0,44,37,0
Peince George,1602,016-002,46,1,1,86,62,4
Peince George,1603,016-003,NA,NA,NA,NA,NA,NA
Peince George,1604,016-004,161,12,2,190,215,2
Peince George,1605,016-005,8,1,0,5,10,0
Peince George,1701,017-001,126,6,1,300,277,5
Peince George,1702,017-002,102,10,6,193,96,3
Peince George,1703,017-003,92,5,1,74,205,4
Peince George,1704,017-004,136,10,3,182,56,0
Peince George,1705,017-005,112,10,3,98,84,5
Peince George,1706,017-006,79,7,0,58,92,2
Peince George,1707,017-007,208,11,2,335,141,2
Peince George,1708,017-008,55,2,2,29,45,4
Peince George,1709,017-009,57,2,5,63,174,2
Peince George,1710,017-010,239,12,3,181,273,5
Peince George,1711,017-011,164,6,4,304,82,1
Peince George,1712,017-012,159,8,6,114,143,2
Peince George,1713,017-013,11,1,3,13,10,0
Peince George,1714,017-014,97,10,3,83,95,4
Peince George,1715,017-015,16,0,0,8,13,0
Peince George,1801,018-001,267,11,7,254,45,1
Peince George,1802,018-002,109,5,3,120,16,1
Peince George,1803,018-003,135,5,2,108,16,1
Peince George,1804,018-004,125,3,4,95,18,2
Peince George,1805,018-005,116,6,4,103,19,2
Peince George,1806,018-006,373,5,6,247,49,2
Peince George,1807,018-007,343,5,6,163,25,0
Peince George,1808,018-008,183,3,2,111,28,2
Peince George,1809,018-009,303,4,4,136,36,4
Peince George,1810,018-010,130,4,0,103,23,0
Peince George,1811,018-011,171,10,2,126,23,2
Peince George,1812,018-012,5,0,0,23,6,0
Peince George,1813,018-013,52,2,0,48,5,0
Peince George,1814,018-014,37,0,3,50,1,0
Peince George,1815,018-015,7,0,0,4,4,0
Peince George,1816,018-016,6,0,0,3,1,0
Peince George,1901,019-001,NA,NA,NA,NA,NA,NA
Peince George,1902,019-002,NA,NA,NA,NA,NA,NA
Peince George,1903,019-003,NA,NA,NA,NA,NA,NA
Peince George,1904,019-004,102,7,3,64,80,1
Peince George,1905,019-005,0,0,0,0,0,0
Peince George,2001,020-001,NA,NA,NA,NA,NA,NA
Peince George,2002,020-002,64,4,5,48,27,1
Peince George,2003,020-003,246,6,1,159,29,1
Peince George,2004,020-004,190,7,3,125,56,3
Peince George,2005,020-005,NA,NA,NA,NA,NA,NA
Peince George,2006,020-006,NA,NA,NA,NA,NA,NA
Peince George,2007,020-007,172,6,6,112,24,0
Peince George,2008,020-008,140,8,0,100,25,1
Peince George,2009,020-009,168,8,3,172,53,2
Peince George,2010,020-010,NA,NA,NA,NA,NA,NA
Peince George,2011,020-011,209,4,3,256,62,3
Peince George,2012,020-012,148,6,5,80,31,2
Peince George,2013,020-013,48,2,1,29,8,1
Peince George,2014,020-014,22,0,0,17,11,1
Peince George,2015,020-015,0,0,0,0,0,0
Peince George,2016,020-016,44,0,3,37,7,0
Peince George,2017,020-017,2,0,0,0,2,0
Peince George,2018,020-018,77,3,0,27,6,0
Peince George,2019,020-019,214,11,5,117,41,1
Peince George,2020,020-020,39,0,2,43,0,1
Peince George,2021,020-021,NA,NA,NA,NA,NA,NA
Peince George,2101,021-001,NA,NA,NA,NA,NA,NA
Peince George,2102,021-002,NA,NA,NA,NA,NA,NA
Peince George,2103,021-003,NA,NA,NA,NA,NA,NA
Peince George,2104,021-004,NA,NA,NA,NA,NA,NA
Peince George,2105,021-005,118,9,4,126,109,1
Peince George,2106,021-006,NA,NA,NA,NA,NA,NA
Peince George,2107,021-007,NA,NA,NA,NA,NA,NA
Peince George,2108,021-008,NA,NA,NA,NA,NA,NA
Peince George,2109,021-009,NA,NA,NA,NA,NA,NA
Peince George,2110,021-010,NA,NA,NA,NA,NA,NA
Peince George,2111,021-011,NA,NA,NA,NA,NA,NA
Peince George,2112,021-012,NA,NA,NA,NA,NA,NA
Peince George,2113,021-013,NA,NA,NA,NA,NA,NA
Peince George,2114,021-014,57,4,1,54,211,1
Peince George,2115,021-015,NA,NA,NA,NA,NA,NA
Peince George,2116,021-016,NA,NA,NA,NA,NA,NA
Peince George,2117,021-017,NA,NA,NA,NA,NA,NA
Peince George,2118,021-018,NA,NA,NA,NA,NA,NA
Peince George,2119,021-019,NA,NA,NA,NA,NA,NA
Peince George,6001,,0,0,0,0,0,0
Peince George,6002,,0,0,0,0,0,0
Peince George,6003,,0,0,0,0,0,0
Peince George,6004,,0,0,0,0,0,0
Peince George,6005,,0,0,0,0,0,0
Peince George,6006,,0,0,0,0,0,0
Peince George,6007,,0,0,0,0,0,0
Peince George,6008,,0,0,0,0,0,0
Peince George,7000,,0,0,0,0,0,0
Peince George,7500,,0,0,0,0,0,0
Peince George,8000,,0,0,0,0,0,0
