"","County ID","Precinct","Anthony Brown","Warren Christopher","Matthew Fogg","Glenn Ivey","Joseline Pena-Melnyk","Terence Strait"
"146",126,1301,64,1,2,53,12,0
"147",126,1302,181,6,5,136,72,0
"148",126,1303,198,7,2,169,21,3
"149",126,1304,206,6,3,118,22,1
"150",126,1305,398,7,6,282,75,1
"151",126,1306,348,9,4,290,66,1
"152",126,1307,473,5,3,256,78,0
"153",126,1308,109,4,3,93,34,1
"154",126,1309,291,9,4,362,30,0
"155",126,1310,407,10,5,337,61,4
"156",126,1311,392,7,13,259,43,1
"157",126,1312,383,9,9,379,84,1
"158",126,1313,319,5,2,174,27,0
"159",126,1314,438,13,2,285,58,0
"160",126,1315,342,16,5,382,86,2
"161",126,1316,300,7,6,209,102,5
"162",126,1317,208,4,1,164,32,1
"163",126,1318,72,1,2,62,21,1
"164",126,1319,6,0,0,6,3,0
"165",126,1320,80,2,1,45,15,1
"166",126,1321,177,12,1,132,34,2
"167",126,1322,35,0,1,27,8,0
"168",126,1323,95,3,3,62,21,0
"169",126,1324,136,4,3,100,27,0
"170",126,1325,25,1,0,28,1,0
"171",126,1401,NA,NA,NA,NA,NA,NA
"172",126,1402,NA,NA,NA,NA,NA,NA
"173",126,1403,NA,NA,NA,NA,NA,NA
"174",126,1404,NA,NA,NA,NA,NA,NA
"175",126,1405,NA,NA,NA,NA,NA,NA
"176",126,1406,NA,NA,NA,NA,NA,NA
"177",126,1407,NA,NA,NA,NA,NA,NA
"178",126,1408,NA,NA,NA,NA,NA,NA
"179",126,1409,NA,NA,NA,NA,NA,NA
"180",126,1410,NA,NA,NA,NA,NA,NA
"181",126,1411,NA,NA,NA,NA,NA,NA
"182",126,1412,NA,NA,NA,NA,NA,NA
"183",126,1413,NA,NA,NA,NA,NA,NA
"184",126,1414,NA,NA,NA,NA,NA,NA
"185",126,1415,NA,NA,NA,NA,NA,NA
"186",126,1416,NA,NA,NA,NA,NA,NA
"187",126,1417,NA,NA,NA,NA,NA,NA
"188",126,1501,NA,NA,NA,NA,NA,NA
"189",126,1502,215,5,4,224,26,1
"190",126,1503,NA,NA,NA,NA,NA,NA
"191",126,1504,NA,NA,NA,NA,NA,NA
"192",126,1505,574,57,6,670,145,3
"193",126,1506,NA,NA,NA,NA,NA,NA
"194",126,1601,54,6,0,44,37,0
"195",126,1602,46,1,1,86,62,4
"196",126,1603,NA,NA,NA,NA,NA,NA
"197",126,1604,161,12,2,190,215,2
"198",126,1605,8,1,0,5,10,0
"199",126,1701,126,6,1,300,277,5
"200",126,1702,102,10,6,193,96,3
"201",126,1703,92,5,1,74,205,4
"202",126,1704,136,10,3,182,56,0
"203",126,1705,112,10,3,98,84,5
"204",126,1706,79,7,0,58,92,2
"205",126,1707,208,11,2,335,141,2
"206",126,1708,55,2,2,29,45,4
"207",126,1709,57,2,5,63,174,2
"208",126,1710,239,12,3,181,273,5
"209",126,1711,164,6,4,304,82,1
"210",126,1712,159,8,6,114,143,2
"211",126,1713,11,1,3,13,10,0
"212",126,1714,97,10,3,83,95,4
"213",126,1715,16,0,0,8,13,0
"214",126,1801,267,11,7,254,45,1
"215",126,1802,109,5,3,120,16,1
"216",126,1803,135,5,2,108,16,1
"217",126,1804,125,3,4,95,18,2
"218",126,1805,116,6,4,103,19,2
"219",126,1806,373,5,6,247,49,2
"220",126,1807,343,5,6,163,25,0
"221",126,1808,183,3,2,111,28,2
"222",126,1809,303,4,4,136,36,4
"223",126,1810,130,4,0,103,23,0
"224",126,1811,171,10,2,126,23,2
"225",126,1812,5,0,0,23,6,0
"226",126,1813,52,2,0,48,5,0
"227",126,1814,37,0,3,50,1,0
"228",126,1815,7,0,0,4,4,0
"229",126,1816,6,0,0,3,1,0
"230",126,1901,NA,NA,NA,NA,NA,NA
"231",126,1902,NA,NA,NA,NA,NA,NA
"232",126,1903,NA,NA,NA,NA,NA,NA
"233",126,1904,102,7,3,64,80,1
"234",126,1905,0,0,0,0,0,0
"235",126,2001,NA,NA,NA,NA,NA,NA
"236",126,2002,64,4,5,48,27,1
"237",126,2003,246,6,1,159,29,1
"238",126,2004,190,7,3,125,56,3
"239",126,2005,NA,NA,NA,NA,NA,NA
"240",126,2006,NA,NA,NA,NA,NA,NA
"241",126,2007,172,6,6,112,24,0
"242",126,2008,140,8,0,100,25,1
"243",126,2009,168,8,3,172,53,2
"244",126,2010,NA,NA,NA,NA,NA,NA
"245",126,2011,209,4,3,256,62,3
"246",126,2012,148,6,5,80,31,2
"247",126,2013,48,2,1,29,8,1
"248",126,2014,22,0,0,17,11,1
"249",126,2015,0,0,0,0,0,0
"250",126,2016,44,0,3,37,7,0
"251",126,2017,2,0,0,0,2,0
"252",126,2018,77,3,0,27,6,0
"253",126,2019,214,11,5,117,41,1
"254",126,2020,39,0,2,43,0,1
"255",126,2021,NA,NA,NA,NA,NA,NA
"256",126,2101,NA,NA,NA,NA,NA,NA
"257",126,2102,NA,NA,NA,NA,NA,NA
"258",126,2103,NA,NA,NA,NA,NA,NA
"259",126,2104,NA,NA,NA,NA,NA,NA
"260",126,2105,118,9,4,126,109,1
"261",126,2106,NA,NA,NA,NA,NA,NA
"262",126,2107,NA,NA,NA,NA,NA,NA
"263",126,2108,NA,NA,NA,NA,NA,NA
"264",126,2109,NA,NA,NA,NA,NA,NA
"265",126,2110,NA,NA,NA,NA,NA,NA
"266",126,2111,NA,NA,NA,NA,NA,NA
"267",126,2112,NA,NA,NA,NA,NA,NA
"268",126,2113,NA,NA,NA,NA,NA,NA
"269",126,2114,57,4,1,54,211,1
"270",126,2115,NA,NA,NA,NA,NA,NA
"271",126,2116,NA,NA,NA,NA,NA,NA
"272",126,2117,NA,NA,NA,NA,NA,NA
"273",126,2118,NA,NA,NA,NA,NA,NA
"274",126,2119,NA,NA,NA,NA,NA,NA
"275",126,6001,0,0,0,0,0,0
"276",126,6002,0,0,0,0,0,0
"277",126,6003,0,0,0,0,0,0
"278",126,6004,0,0,0,0,0,0
"279",126,6005,0,0,0,0,0,0
"280",126,6006,0,0,0,0,0,0
"281",126,6007,0,0,0,0,0,0
"282",126,6008,0,0,0,0,0,0
"283",126,7000,0,0,0,0,0,0
"284",126,7500,0,0,0,0,0,0
"285",126,8000,0,0,0,0,0,0
