County,Precinct,Freddie Dickson,Donna Edwards,Ralph Jaffe,Theresa Scaldaferri,Charles Smith,Violet Staley,Blaine Taylor,Ed Tinus,Chris Van Hollen,Lih Young
Cecil,701,6,56,4,10,7,5,1,5,156,7
Cecil,702,4,124,8,8,2,15,0,1,226,6
Cecil,703,0,23,2,4,0,1,2,2,41,0
Cecil,704,2,7,1,3,0,0,2,0,24,0
Cecil,801,5,40,6,7,4,2,3,3,121,4
Cecil,901,5,25,2,5,5,2,1,0,86,2
Cecil,902,2,36,6,8,1,6,2,0,58,2
Cecil,6001,0,0,0,0,0,0,0,0,0,0
Cecil,7000,0,0,0,0,0,0,0,0,0,0
Cecil,7500,0,0,0,0,0,0,0,0,0,0
Cecil,8000,0,0,0,0,0,0,0,0,0,0
Charles,101,9,186,2,11,11,5,3,6,167,3
Charles,102,5,96,4,8,5,0,2,0,170,3
Charles,103,8,130,2,12,6,8,4,2,159,6
Charles,104,6,78,4,2,6,1,4,1,134,0
Charles,201,5,51,2,1,3,2,5,3,79,2
Charles,301,7,112,2,6,8,4,3,0,123,3
Charles,401,7,82,6,5,4,3,4,1,122,2
Charles,402,3,36,9,2,2,1,1,3,65,1
Charles,501,15,116,5,6,7,3,9,4,173,6
Charles,601,8,116,3,8,5,6,3,1,177,3
Charles,602,15,366,2,8,6,6,3,0,255,7
Charles,603,15,319,5,8,11,8,5,0,134,3
Charles,604,27,454,8,6,6,9,3,0,206,7
Charles,605,23,418,2,15,7,10,2,2,179,5
Charles,606,16,309,4,7,14,11,7,3,199,3
Charles,607,22,298,5,15,8,6,3,1,157,11
Charles,608,16,195,4,9,7,7,4,2,116,2
Charles,609,12,214,7,5,6,8,1,1,221,3
Charles,610,15,518,4,6,11,7,7,4,204,6
Charles,611,15,281,1,6,4,7,2,3,136,3
Charles,612,9,147,1,5,2,2,6,1,89,0
Charles,613,13,410,13,4,7,11,9,1,232,4
Charles,614,12,434,4,8,11,6,4,1,291,4
Charles,615,18,294,6,5,10,6,4,1,126,5
Charles,616,14,207,6,5,3,2,4,1,112,3
Charles,617,7,149,1,4,4,4,2,0,96,5
Charles,618,24,510,7,9,10,8,2,0,178,4
Charles,619,9,278,1,12,7,11,0,0,137,7
Charles,620,6,123,3,6,4,1,1,1,103,2
Charles,621,10,204,2,8,6,4,6,0,103,5
Charles,622,10,207,2,11,2,5,3,0,113,3
Charles,701,6,52,0,2,3,2,1,0,68,1
Charles,702,15,271,6,8,13,7,5,1,153,4
Charles,703,16,350,7,7,4,5,10,3,227,6
Charles,704,9,344,3,5,9,8,6,0,161,2
Charles,801,9,171,6,7,8,10,4,1,223,3
Charles,802,13,193,2,11,9,2,5,0,177,6
Charles,803,7,164,4,3,2,3,6,1,143,2
Charles,804,5,226,7,10,9,4,3,1,219,5
Charles,805,0,15,1,1,3,1,0,0,23,1
Charles,901,12,202,3,7,3,3,3,1,154,4
Charles,902,10,117,4,5,6,7,3,0,143,4
Charles,1001,8,233,5,7,8,5,5,3,160,11
Charles,6001,0,0,0,0,0,0,0,0,0,0
Charles,6002,0,0,0,0,0,0,0,0,0,0
Charles,7000,0,0,0,0,0,0,0,0,0,0
Charles,7500,0,0,0,0,0,0,0,0,0,0
Charles,8000,0,0,0,0,0,0,0,0,0,0
Frederick,101,3,89,3,12,9,8,6,2,222,3
Frederick,102,14,139,6,16,9,16,12,2,220,11
Frederick,103,5,74,4,7,5,8,4,1,142,6
Frederick,201,14,174,8,13,12,11,13,1,213,10
Frederick,202,3,57,2,7,8,2,1,1,94,3
Frederick,203,7,136,7,9,12,17,7,2,339,4
Frederick,204,25,198,8,20,16,24,17,1,263,13
Frederick,205,10,167,8,16,13,16,9,3,562,10
Frederick,206,13,130,7,12,11,8,8,3,212,5
Frederick,207,14,164,3,19,13,13,11,5,300,10
Frederick,208,13,180,7,17,8,16,7,2,244,12
Frederick,210,13,164,7,24,18,10,8,3,314,16
Frederick,211,9,108,2,13,16,12,5,1,184,9
Frederick,213,12,139,5,7,12,14,3,3,193,9
Frederick,214,3,62,10,9,2,3,4,1,135,2
Frederick,215,1,112,4,9,8,4,6,2,332,6
Frederick,216,6,106,2,14,7,9,5,1,150,9
Frederick,217,19,112,2,12,12,9,6,2,107,11
Frederick,218,5,66,4,11,3,7,6,1,120,5
Frederick,301,2,46,4,5,12,2,5,3,158,3
Frederick,302,2,78,4,7,19,5,3,0,313,7
Frederick,303,3,47,4,3,13,13,0,0,179,4
Frederick,401,1,16,1,2,8,0,0,1,35,1
Frederick,501,8,62,4,9,12,6,7,2,244,4
Frederick,601,2,20,3,4,5,1,2,1,108,0
Frederick,701,6,55,1,7,4,9,4,1,163,0
Frederick,702,12,144,10,10,14,16,7,2,315,16
Frederick,703,6,55,4,7,6,5,2,1,185,3
Frederick,704,4,70,1,4,4,4,3,0,167,3
Frederick,705,0,3,0,1,0,0,0,0,5,0
Frederick,706,0,1,0,0,0,0,0,0,0,0
Frederick,707,0,3,0,1,2,0,2,0,23,0
Frederick,801,4,24,3,3,8,3,4,4,130,1
Frederick,901,10,67,6,10,6,7,2,0,221,4
Frederick,902,4,70,8,5,8,9,5,3,247,9
Frederick,903,2,19,0,2,1,2,3,0,34,1
Frederick,904,4,43,5,8,6,7,6,1,236,5
Frederick,905,0,20,2,3,7,4,3,1,120,1
Frederick,906,14,81,2,11,6,17,6,1,242,4
Frederick,907,10,96,5,10,11,12,4,4,330,5
Frederick,908,0,35,2,8,4,3,2,2,128,3
Frederick,909,0,24,2,1,1,2,1,0,52,2
Frederick,1001,2,10,2,1,9,6,1,1,67,2
Frederick,1101,2,30,2,3,8,6,2,2,150,3
Frederick,1201,0,66,5,10,15,6,3,0,197,6
Frederick,1202,0,0,0,0,1,0,0,0,0,0
Frederick,1301,6,90,6,17,9,11,8,1,381,7
Frederick,1302,0,0,0,0,1,0,0,1,8,0
Frederick,1303,1,8,0,2,0,0,1,0,24,0
Frederick,1401,4,74,5,8,23,13,4,2,268,4
Frederick,1402,0,6,1,1,2,1,1,0,42,2
Frederick,1501,0,36,5,8,9,5,5,0,139,1
Frederick,1502,3,56,7,11,16,5,13,2,161,2
Frederick,1601,9,70,4,9,18,4,5,2,245,3
Frederick,1701,4,22,2,2,7,1,2,0,93,2
Frederick,1801,3,62,6,6,3,9,2,1,260,2
Frederick,1802,7,38,2,6,1,6,7,5,144,1
Frederick,1803,4,24,0,1,2,3,2,2,121,0
Frederick,1901,1,20,1,1,4,1,1,0,86,1
Frederick,2001,3,31,5,4,10,3,5,1,141,4
Frederick,2101,1,24,3,2,9,5,2,0,143,2
Frederick,2102,6,72,0,6,6,12,5,1,169,3
Frederick,2103,2,32,3,3,3,5,1,1,132,3
Frederick,2104,5,92,4,11,5,11,6,1,190,3
Frederick,2107,2,15,1,0,3,1,0,0,61,0
Frederick,2108,0,0,0,0,0,0,0,0,0,1
Frederick,2201,3,20,1,1,4,1,2,0,131,2
Frederick,2202,0,0,0,0,0,0,0,0,0,0
Frederick,2301,19,168,9,18,16,14,8,3,327,12
Frederick,2302,1,0,1,0,0,0,0,0,5,0
Frederick,2401,3,38,2,2,8,6,7,2,198,7
Frederick,2402,2,18,0,1,4,4,1,0,95,3
Frederick,2403,0,21,1,0,1,2,1,1,81,1
Frederick,2404,0,0,0,0,0,0,0,0,0,0
Frederick,2405,3,38,4,4,4,3,1,0,74,3
Frederick,2406,0,0,0,0,0,0,0,0,1,0
Frederick,2501,3,105,8,9,20,12,10,2,221,8
Frederick,2601,5,97,8,12,17,11,6,0,326,5
Frederick,2602,4,73,6,8,14,6,7,1,241,3
Frederick,6001,28,619,17,45,50,42,23,12,1960,30
Frederick,6002,2,54,4,7,14,6,4,1,288,2
Frederick,6003,10,183,6,13,8,21,10,2,702,6
Frederick,7000,19,263,5,23,21,29,6,7,491,15
Frederick,7500,8,98,2,16,8,21,8,3,117,8
Frederick,8000,17,202,6,14,9,26,7,3,359,12
Garrett,100,4,37,5,5,1,6,1,2,34,0
Garrett,200,7,32,1,3,3,5,5,2,26,4
